grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,n_d,n_a,n_steps
5,4,2.5485812622691584,1.2567551136016846,1.241736888885498,12,22,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0005_fold4,1.241736888885498,2.3629298210144043,1.537182429321388,0.6421302556991577,35.45837,TabNetRegressor,8,32,5
5,5,2.5247887948098224,1.2278262376785278,1.2226845026016235,14,24,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0005_fold5,1.2226845026016235,2.3722212314605713,1.5402016853193516,0.6766486167907715,35.569237,TabNetRegressor,8,32,5
6,1,2.4652760752714404,1.2888110876083374,1.279226541519165,11,21,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0006_fold1,1.279226541519165,2.553685188293457,1.598025402893664,0.6655259132385254,34.991913,TabNetRegressor,8,32,7
6,2,2.7234637936165527,1.3180519342422485,1.2484147548675537,12,22,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0006_fold2,1.2484147548675537,2.525644302368164,1.589227580420175,0.6525572538375854,35.0768,TabNetRegressor,8,32,7
6,3,2.563612093461861,1.253528356552124,1.2398173809051514,10,20,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0006_fold3,1.2398173809051514,2.4973878860473633,1.580312591244961,0.6569831371307373,33.195293,TabNetRegressor,8,32,7
6,4,2.5077131541692768,1.258654236793518,1.2354873418807983,17,27,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0006_fold4,1.2354873418807983,2.4012081623077393,1.5495832221303054,0.6363328695297241,36.233757,TabNetRegressor,8,32,7
6,5,2.91291578763213,1.353405237197876,1.3434375524520874,6,16,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0006_fold5,1.3434375524520874,2.901038408279419,1.7032434964735426,0.6045668125152588,38.941357,TabNetRegressor,8,32,7
7,1,2.547003970726953,1.308806300163269,1.2813351154327393,26,36,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0007_fold1,1.2813351154327393,2.549961805343628,1.5968599830115437,0.6660135388374329,34.630196,TabNetRegressor,8,64,3
7,2,2.6357344618677145,1.2590553760528564,1.253583550453186,4,14,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0007_fold2,1.253583550453186,2.5177457332611084,1.5867406004955908,0.653643786907196,35.9478,TabNetRegressor,8,64,3
7,3,2.529798820198133,1.2390071153640747,1.2356935739517212,23,33,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0007_fold3,1.2356935739517212,2.3850326538085938,1.5443550931727437,0.6724151372909546,34.918655,TabNetRegressor,8,64,3
