grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,hidden_features,dropout,activation
8,4,1.383849436667428,1.3002428938360775,1.297274095170638,44,54,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0008_fold4.pt,1.2989752292633057,2.740039587020874,1.655306493378454,0.5850162506103516,36.406128,SimpleMLP,128,0.3,ReLU
8,5,1.3687189603919414,1.2617062154938192,1.2510649404105019,66,76,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0008_fold5.pt,1.2535382509231567,2.538788318634033,1.5933575614513,0.6539442539215088,36.44808,SimpleMLP,128,0.3,ReLU
9,1,1.3538697602143928,1.3651462407673107,1.3527488357880537,54,64,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0009_fold1.pt,1.3490544557571411,3.019864320755005,1.7377756819437327,0.6044670939445496,38.093475,SimpleMLP,128,0.4,ReLU
9,2,1.3748112543305355,1.3253617795074688,1.290765453787411,53,63,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0009_fold2.pt,1.296723484992981,2.7934257984161377,1.6713544801795153,0.6157196164131165,34.303482,SimpleMLP,128,0.4,ReLU
9,3,1.3507447193807631,1.2763288213926203,1.2621821200146395,80,90,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0009_fold3.pt,1.2690696716308594,2.5944228172302246,1.610721210275144,0.6436554193496704,34.79287,SimpleMLP,128,0.4,ReLU
9,4,1.3810196047398582,1.330557107925415,1.2894153244355147,54,64,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0009_fold4.pt,1.2901850938796997,2.6751372814178467,1.6355846909951948,0.5948458909988403,36.878727,SimpleMLP,128,0.4,ReLU
9,5,1.3862253836731413,1.3218162129907047,1.271495307193083,50,60,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0009_fold5.pt,1.2765322923660278,2.6714730262756348,1.634464140406768,0.6358582973480225,38.162884,SimpleMLP,128,0.4,ReLU
10,1,1.4802336657225197,1.4797554156359505,1.4709472866619335,67,77,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0010_fold1.pt,1.4698163270950317,5.2014970779418945,2.280679082629096,0.31872332096099854,39.00936,SimpleMLP,128,0.2,Tanh
10,2,1.4528343624143458,1.3658089129363788,1.3658089129363788,100,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0010_fold2.pt,1.3725311756134033,3.9387919902801514,1.9846390075477585,0.45815616846084595,36.305958,SimpleMLP,128,0.2,Tanh
10,3,1.4476022088705605,1.3852894025690414,1.3766673452713911,98,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0010_fold3.pt,1.3900606632232666,4.186490535736084,2.0460915267250592,0.42498451471328735,34.425114,SimpleMLP,128,0.2,Tanh
10,4,1.4465142613026634,1.3632739887518042,1.3632739887518042,100,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0010_fold4.pt,1.3661433458328247,3.686601161956787,1.9200523852116085,0.4416579008102417,36.899525,SimpleMLP,128,0.2,Tanh
10,5,1.498539296548758,1.4274392969468062,1.4138796855421627,63,73,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0010_fold5.pt,1.414973497390747,4.689619541168213,2.1655529412065206,0.36076992750167847,36.7342,SimpleMLP,128,0.2,Tanh
