grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,d_model,n_heads,num_layers
8,4,1.338330428102123,1.2826767879373886,1.2526914898086996,29,39,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold4.pt,1.2491226196289062,2.483447790145874,1.575895869068091,0.6238775253295898,35.855865,SimpleTabTransformer,64,8,2
8,5,1.3929217893685868,1.5786758906701033,1.2289371911217184,39,49,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold5.pt,1.228837013244629,2.4770777225494385,1.573873477300332,0.6623558402061462,37.592144,SimpleTabTransformer,64,8,2
9,1,1.269585075218286,1.3000335833605599,1.2796831691966337,55,65,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold1.pt,1.275756597518921,2.623603105545044,1.6197540262475176,0.6563682556152344,37.045364,SimpleTabTransformer,64,8,3
9,2,1.2984962979359413,1.280079399838167,1.2504372088348163,54,64,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold2.pt,1.2564011812210083,2.5712711811065674,1.603518375668507,0.6462805271148682,35.32323,SimpleTabTransformer,64,8,3
9,3,1.4781920856504298,1.4857166900354273,1.2440984617261326,83,93,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold3.pt,1.2498705387115479,2.5104122161865234,1.5844280407094933,0.6551942825317383,37.458317,SimpleTabTransformer,64,8,3
9,4,1.8517624406672235,1.8137554841883041,1.795174917754005,10,20,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold4.pt,1.8000128269195557,6.724961757659912,2.593253122558597,-0.018507003784179688,56.38289,SimpleTabTransformer,64,8,3
9,5,1.5775405515485734,1.5202685524435604,1.2293375169529634,55,65,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold5.pt,1.2295849323272705,2.508831024169922,1.5839289833101489,0.6580276489257812,38.199097,SimpleTabTransformer,64,8,3
10,1,1.245377697606585,1.2844751827857073,1.281728562186746,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0010_fold1.pt,1.2785065174102783,2.6355457305908203,1.6234363956098867,0.654803991317749,36.624012,SimpleTabTransformer,128,2,1
10,2,1.262871548755845,1.2922360090648426,1.2314105735105627,41,51,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0010_fold2.pt,1.2362984418869019,2.4747698307037354,1.5731401179499986,0.6595557928085327,35.860367,SimpleTabTransformer,128,2,1
10,3,1.2591923364062807,1.2484429478645325,1.244572590379154,33,43,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0010_fold3.pt,1.2507317066192627,2.5010647773742676,1.5814755064098425,0.6564781665802002,35.193886,SimpleTabTransformer,128,2,1
10,4,1.2639444559367734,1.2723904041682972,1.2697876726879793,19,29,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0010_fold4.pt,1.2666635513305664,2.5779929161071777,1.6056129409378768,0.6095585823059082,37.077564,SimpleTabTransformer,128,2,1
10,5,1.256946094890139,1.3495764031129724,1.225544009138556,42,52,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0010_fold5.pt,1.226613163948059,2.5190389156341553,1.5871480446493185,0.6566362380981445,35.23146,SimpleTabTransformer,128,2,1
11,1,1.2439138800350589,1.312238756348105,1.284490911399617,63,73,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0011_fold1.pt,1.2802363634109497,2.6229705810546875,1.6195587612231572,0.6564511060714722,36.683865,SimpleTabTransformer,128,2,2
11,2,1.3376096513733935,1.300287663936615,1.2744865207111133,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0011_fold2.pt,1.2782127857208252,2.7159061431884766,1.648000650239094,0.6263836622238159,39.507336,SimpleTabTransformer,128,2,2
11,3,1.2665522231984494,1.5876031763413374,1.2470901152666878,35,45,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0011_fold3.pt,1.2530536651611328,2.5051090717315674,1.5827536358295209,0.6559226512908936,38.08228,SimpleTabTransformer,128,2,2
11,4,1.2645956251158643,1.2985867612502153,1.2562479622223799,43,53,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0011_fold4.pt,1.2529774904251099,2.489640235900879,1.5778593840709885,0.6229397058486938,36.50866,SimpleTabTransformer,128,2,2
11,5,1.4355394617835087,1.293822102686938,1.2270124326733982,46,56,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0011_fold5.pt,1.2267999649047852,2.512484073638916,1.5850817245930622,0.6575297117233276,37.05636,SimpleTabTransformer,128,2,2
